Logger:         	Automatically truncated logfile to 1048576
SessionPaths:   	Waiting for exclusive lock of E:\projects\telega\hello.lightState.php.lock...
SessionPaths:   	Got exclusive lock of E:\projects\telega\hello.lightState.php.lock...
APIWrapper:     	Saved session!
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updates) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 4 incoming messages, 0 left
Session:        	Garbage collected 1 outgoing messages, 0 left
ReferenceDatabase: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase: 	null
MsgIdHandler64: 	Given message id (7073904332022296577) is lower than or equal to the current limit (7073904332022423553). Please sync your date using NTP.
MsgIdHandler64: 	Given message id (7073904332022268929) is bigger than or equal to the current limit (7073904332022253569). Please sync your date using NTP.
MsgIdHandler64: 	Given message id (7073904332022419457) is bigger than or equal to the current limit (7073904332022268929). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1362553581
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop channel 1441902509
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
MsgIdHandler64: 	Given message id (7073904332978878465) is bigger than or equal to the current limit (7073904332978760705). Please sync your date using NTP.
Session:        	Garbage collected 12 incoming messages, 0 left
Session:        	Garbage collected 7 outgoing messages, 2 left
MsgIdHandler64: 	Given message id (7073904334943506433) is bigger than or equal to the current limit (7073904334943206401). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 6 incoming messages, 0 left
Session:        	Garbage collected 3 outgoing messages, 0 left
MsgIdHandler64: 	Given message id (7073904340526486529) is bigger than or equal to the current limit (7073904340526376961). Please sync your date using NTP.
MsgIdHandler64: 	Given message id (7073904340526535681) is bigger than or equal to the current limit (7073904340526486529). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
PeerHandler:    	Only have min peer for -1001259600265 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer -1001259600265, this may fail
FeedLoop:       	Resumed update feed loop channel 1259600265
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
MsgIdHandler64: 	Given message id (7073904342120580097) is bigger than or equal to the current limit (7073904342120365057). Please sync your date using NTP.
Session:        	Garbage collected 10 incoming messages, 0 left
